 + TIC Scan DR_328.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
40,40.955,41.024,41.137,76797.56,349145.89,1.3,1.12,0.23,0.183,0.068,27167,27225.94,40.929,40.967,41.184,41.273,26966,27225.94,1.85,103863,,,  ,57.1,,,,,,,,,,
41,41.343,41.4,41.467,18344.11,61272.4,0.23,0.27,0.04,0.124,0.051,27518.67,27694.21,41.184,41.273,41.47,41.514,27518.67,27694.21,1.55,45943,,,  ,57.1,,,,,,,,,,
42,41.521,41.61,41.837,82623.79,738314.63,2.75,1.2,0.5,0.316,0.15,27876.23,20038.08,41.47,41.514,41.839,41.877,27876.23,20038.08,2.23,108288,,,  ,57.1,,,,,,,,,,
43,41.875,41.934,42.053,40464.64,174438.07,0.65,0.59,0.12,0.178,0.063,19414.66,16765.86,41.839,41.877,42.176,42.284,19414.66,16765.86,1.48,59000,,,  ,57.1,,,,,,,,,,
44,42.437,42.558,42.59,316098.33,1191872.23,4.44,4.6,0.8,0.153,0.059,18132,238348,42.322,42.399,42.583,42.59,10176.67,10176.67,0.39,326275,,,  ,55.1,,,,,,,,,,
45,42.59,42.653,42.717,1572492.33,5817560.45,21.67,22.86,3.91,0.127,0.053,238348,308879,42.583,42.59,42.71,42.723,10176.67,10176.67,1,1582669,,,  ,55.1,,,,,,,,,,
46,42.717,42.749,42.787,333898.33,1350280.75,5.03,4.85,0.91,0.07,0.083,308879,317070,42.71,42.723,42.78,42.793,10176.67,10176.67,1.17,344075,,,  ,55.1,,,,,,,,,,
47,42.787,42.914,42.946,6878822.54,26843140.48,100,100,18.05,0.159,0.058,317070,1816989,42.78,42.793,42.946,42.952,33151.63,42060.72,0.44,6919102,,,  ,57.1,,,,,,,,,,
48,42.946,42.99,43.124,4357386.83,14694760.58,54.74,63.34,9.88,0.178,0.051,1816989,169535,42.946,42.952,43.118,43.13,137288.45,116527.35,1.11,4489485,,,  ,57.1,,,,,,,,,,
49,43.124,43.2,43.359,1908039.1,6542333.04,24.37,27.74,4.4,0.235,0.047,169535,101232,43.118,43.13,43.467,43.506,116527.35,89091.93,1.24,2015668,,,  ,57.1,,,,,,,,,,
50,43.498,43.563,43.634,35912.32,133272.4,0.5,0.52,0.09,0.136,0.057,72896,57080.94,43.467,43.506,43.658,43.741,72896,57080.94,0.5,101277,,,  ,57.1,,,,,,,,,,
51,43.735,43.875,43.996,125091.5,812666.4,3.03,1.82,0.55,0.261,0.113,49062,62147,43.658,43.741,43.976,44.027,48736.5,48736.5,1.38,173828,,,  ,55.1,,,,,,,,,,
52,43.996,44.123,44.352,103168,849645.31,3.17,1.5,0.57,0.356,0.112,62147,33911,43.976,44.027,44.352,44.415,41578.49,33658.42,0.94,141918,,,  ,57.1,,,,,,,,,,
53,44.403,44.428,44.479,5171.01,13949.19,0.05,0.08,0.01,0.076,0.066,31916,27500,44.352,44.415,44.613,44.74,31916,26964.05,0.46,35436,,,  ,57,,,,,,,,,,
54,44.975,45.083,45.211,3583914,16312769.55,60.77,52.1,10.97,0.235,0.054,222697,429686,44.803,44.873,45.211,45.217,21925,21925,1.93,3605839,,,  ,55.1,,,,,,,,,,
