Peak,Compound,mean_RT,328,331,332,333,334,337,338,339,341,345
P103,C31_diene_NA,42.638,42.653,42.64,42.64,42.634,42.634,42.628,42.634,42.64,42.634,42.647
P104,C31_diene_NA,42.734,42.749,NA,NA,NA,NA,42.723,NA,42.723,NA,42.742
P105,C31_ene_NA,42.885,42.914,42.876,42.895,42.869,42.876,42.869,42.863,42.901,42.87,42.92
P106,C31_ene_NA,42.965,42.99,42.952,42.978,42.952,42.959,42.952,42.939,42.99,42.946,42.997
P107,C31_ane_NA,43.187,43.2,43.181,43.188,43.181,43.175,43.181,43.168,43.2,43.188,43.207
P108,,43.391,NA,43.391,NA,NA,NA,NA,NA,NA,NA,NA
P109,C31_Me_15-;13-;11-,43.544,43.563,43.531,43.544,43.556,43.544,43.531,43.537,43.544,43.55,43.544
P110,C32_diene_NA,43.751,NA,43.677,NA,NA,NA,NA,NA,43.779,NA,43.798
P111,C32_diene_NA,43.862,43.875,43.875,43.856,43.875,43.862,43.855,43.849,43.856,43.862,43.856
P112,C32_ene_NA,44.106,44.123,44.11,44.104,44.11,44.11,44.097,44.104,44.097,44.11,44.097
P113,,44.416,44.428,44.415,44.422,44.428,44.428,44.403,NA,44.409,44.409,44.403
P114,,44.53,NA,44.53,NA,NA,NA,NA,NA,NA,NA,NA
P115,,44.757,NA,NA,44.746,NA,NA,NA,NA,44.753,NA,44.772
P116,C33_diene_NA,45.062,45.083,45.064,45.071,45.052,45.058,45.052,45.045,45.071,45.052,45.077
P117,C33_diene_NA,45.148,NA,NA,45.147,NA,45.147,45.141,NA,45.147,NA,45.16
P118,C33_ene_NA,45.347,45.357,45.338,45.363,45.331,45.338,45.331,45.325,45.376,45.332,45.382
P119,C33_ane_NA,45.609,45.624,NA,45.605,45.611,45.605,45.599,45.611,45.599,45.618,45.605
P120,,45.958,45.98,45.98,45.949,45.955,45.949,45.955,NA,45.942,45.974,45.942
P121,C34_diene_NA,46.238,46.267,46.273,46.229,NA,46.222,46.235,NA,46.21,46.254,46.216
P122,,46.569,NA,46.61,46.578,46.553,46.598,46.559,46.547,46.54,NA,46.566
P123,,46.751,46.763,NA,NA,NA,NA,NA,NA,NA,46.738,NA
P124,,47.081,NA,NA,NA,NA,NA,47.081,NA,47.081,NA,NA
P125,C35_diene_NA,47.378,47.412,47.412,47.361,47.431,47.355,47.355,47.374,47.336,47.406,47.342
P126,C35_ene_NA,47.603,47.635,47.628,47.596,NA,47.584,47.647,47.609,47.558,NA,47.571
P127,C35_ene_NA,47.644,NA,NA,NA,47.666,NA,NA,NA,47.622,47.66,47.628
P128,,48.236,NA,NA,NA,NA,NA,NA,NA,48.252,NA,48.22
P129,,48.436,NA,NA,NA,NA,NA,NA,NA,48.436,NA,NA
P130,,49.176,49.282,NA,NA,NA,NA,49.168,NA,49.079,NA,NA
P131,C37_diene_NA,49.778,49.893,49.804,49.74,49.842,49.734,49.753,49.778,49.709,49.804,49.721
P132,,50.014,NA,NA,NA,NA,NA,NA,NA,50.014,NA,NA
P133,,51.224,51.299,51.229,51.197,51.356,51.172,51.216,51.223,51.153,51.242,51.153
P134,,51.462,NA,NA,NA,NA,NA,NA,NA,51.471,NA,51.452
P135,,52.081,NA,NA,52.075,52.101,52.094,NA,NA,52.043,NA,52.094
P136,,53.467,NA,53.577,53.526,53.418,53.418,53.418,53.57,53.424,NA,53.386
P137,,53.876,53.876,NA,NA,NA,NA,NA,NA,NA,NA,NA
P138,,54.213,NA,NA,NA,54.213,NA,NA,NA,NA,NA,NA
P139,,54.635,54.722,54.677,54.633,54.722,54.601,54.614,54.607,54.563,54.639,54.576
P140,,55.011,NA,55.053,55.04,NA,55.008,NA,NA,54.964,55.008,54.995
P141,,55.252,NA,55.307,55.224,55.193,NA,55.339,55.199,NA,NA,NA
P142,,55.619,55.619,NA,NA,NA,NA,NA,NA,NA,NA,NA
P143,,57.648,NA,NA,NA,57.636,57.744,57.597,57.566,NA,NA,57.699
P144,,57.871,NA,NA,NA,57.871,NA,NA,NA,NA,NA,NA
