"Peak","RI","Compound","Chain.length","Class","Mod.position","351","352","350","349","354","346","343","342","335","344","339","345","332","341","334","328","337","338","333","331"
"P21",2574,"C26:ene",26,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272184.005301051,262533.145515317,150060.827025011,94207.0939885829,253786.360320157,NA,61845.4747047446,47699.1782901387,93089.5969272014,104731.024620717
"P22",2582,"C26:ene",26,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110622.228750272,80520.5399131966,52765.1263224132,40137.3080830825,58832.0924071035,NA,22096.0853914846,32258.125326967,41774.9415020185,NA
"P23",2600,"C26",26,"Alkane","NA",1972058.94303064,2133515.22569465,1589513.19260247,2292318.88636251,1321732.76241592,713951.129177239,553106.660816709,477303.134306739,485565.037947241,328895.717925418,1845063.4234626,1575708.35281816,845985.428647732,1046354.17343923,796889.275169773,304490.457436483,527383.890953552,647066.07266579,542663.278085849,337895.421791506
"P24",2649,"C27:diene",27,"Alkadiene","NA",NA,NA,NA,99371.1269937787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P25",2650,"C27:diene",27,"Alkadiene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95704.5232766435,NA,60937.6845333767,25086.5313309965,NA,NA,NA,NA,31459.6019727297,12438.387159536
"P26",2658,"C27:diene",27,"Alkadiene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50850.7071030452,NA,44511.820839548,NA,NA,NA,NA,NA,33270.076357884,NA
"P27",2670,"C27:ene",27,"Alkene","NA",2859470.94463293,2495887.0911848,2323627.91735814,5201106.58434461,2055047.60378524,1364045.29252206,1144491.30679942,1151514.27845083,1266264.0090677,825804.433340805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P28",2671,"C27:ene",27,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5032299.71067244,4645297.51218486,2348503.02460861,4506583.49997868,2579829.49830576,484964.453604611,895181.879978177,1760390.70010187,1894125.39626191,1233391.13074721
"P29",2678,"C27:ene",27,"Alkene","NA",1480015.99933514,1213941.68768795,1177002.22285061,3323424.01609391,1134792.92684803,661729.808570983,682568.999578021,715613.59543607,796713.679013693,511161.46100533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P30",2679,"C27:ene",27,"Alkene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4377339.22358251,2770402.58573309,1706838.55569596,3995484.30777427,2243808.53081485,241443.325754512,652582.04432789,1653132.94625924,1434792.31178838,911521.245544533
"P31",2700,"C27",27,"Alkane","NA",60722285.8054686,72756224.8538667,48984865.9823324,74092184.2721143,33099400.2276478,22815921.1517296,14798014.6997802,14138987.6682387,11673403.4086176,10322977.9341798,54425323.0493476,48157308.9029459,27396541.8121785,38703507.1661325,22837984.5663454,8972940.88170706,18535789.7793353,20032950.2336249,16884076.4850997,9803333.58922928
"P32",2729,"13-;11-MeC27",27,"Methyl","13-;11-",2905375.20767137,2507588.6567919,2053981.18296503,1886952.6422448,1739669.37738575,1321106.40909433,886514.953963903,904975.903534178,762898.666428616,555716.706813776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P33",2731,"13-;11-MeC27",27,"Methyl","13-;11-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1693714.28154097,1510203.88431709,802865.157029939,1003725.795777,675817.583259138,546447.437018257,381069.208885388,453179.42441685,473905.005452599,454303.362386014
"P34",2774,"C28:ene",28,"Alkene","NA",359598.576686401,NA,103811.592764335,321971.244924483,137466.769518343,94462.7030542215,63513.2145216995,NA,56258.2137161645,40773.2398533621,286208.700058617,278401.906446783,53974.9125692736,237236.905987148,170837.511850853,NA,93329.1765076202,118738.158859802,158025.249337832,NA
"P35",2782,"C28:ene",28,"Alkene","NA",459869.847646169,125810.344577975,297631.384504995,116061.547977136,203082.348641669,130905.395899003,111449.059399129,185390.435032789,103234.079066471,68484.7272164381,150658.292765102,114410.327279373,73508.2871012382,NA,NA,95905.1295848069,NA,NA,NA,114499.874087042
"P36",2800,"C28",28,"Alkane","NA",3115338.56698636,3058155.53186035,2077513.27028252,1740766.43706775,1463859.49400898,1084208.51318299,672114.967881593,535719.741923671,430861.925853539,445014.853114319,1357451.74716263,1076189.07038631,681853.588304149,670328.340801065,444248.764060196,416105.968773321,587643.491292284,419785.080117037,424863.598486998,302811.335245187
"P37",2830,"14-;13-MeC28",28,"Methyl","14-;13-",130670.276238886,127005.041972998,104444.871564035,85798.5513351686,88580.9358838568,59347.2430230655,35818.3294828228,23596.9791231238,20958.2305288195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P38",2846,"C29:diene",29,"Alkadiene","NA",114144.130043704,139576.884960806,NA,140438.447360912,95621.2825871336,NA,29688.6746292169,33556.0394519433,38321.2239868941,32982.5485214185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P39",2847,"C29:diene",29,"Alkadiene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75744.208690048,96662.5878413119,60829.9850105089,26351.2444638109,NA,NA,28046.0758942604,35996.5840454807,43653.3842192096,36004.2392465328
"P40",2852,"C29:diene",29,"Alkadiene","NA",425797.252512983,462770.211141464,338686.613967083,551405.176753532,272757.623823934,174744.047367578,152251.032150471,132463.469482233,158186.433308713,136632.110402622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P41",2853,"C29:diene",29,"Alkadiene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346492.298697365,323196.975661201,354938.787878902,149119.872841956,91971.7228797604,86410.0253625372,180801.686332899,171608.819007004,331387.35205635,225968.219599781
"P42",2859,"C29:diene",29,"Alkadiene","NA",780666.557765582,744814.298405087,817730.025094817,563135.850100189,367825.721158618,310548.169007801,228577.115284915,212898.19481031,239424.258100216,231787.50236192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P43",2861,"C29:diene",29,"Alkadiene","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361835.609458006,411131.961405402,336335.588518837,188259.997513889,112891.115335817,121044.450690921,220602.153239124,179778.644314323,304232.738970027,229203.203067343
"P44",2872,"C29:ene",29,"Alkene","NA",NA,NA,5707501.4767937,7457515.23799087,5332501.25687696,3327594.50660148,2816939.01001886,2902044.59545527,2805296.38335897,1978175.23943883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
