Peak,Compound,mean_RT,335,342,343,344,346,349,350,351,352,354
P94,,40.8465,NA,NA,NA,NA,NA,40.84,NA,40.853,NA,NA
P95,,40.903,NA,NA,NA,NA,NA,NA,NA,40.903,NA,NA
P96,C29_Me_15-;13-;11-,41.0085,40.999,40.999,41.005,41.005,41.005,41.012,41.012,41.018,41.018,41.012
P97,,41.2995,NA,NA,NA,NA,NA,41.298,41.298,NA,41.304,41.298
P98,C30_diene_NA,41.3859,41.381,41.381,41.381,41.387,41.387,41.393,41.381,41.387,41.394,41.387
P99,C30_ene_NA,41.5928,41.591,41.591,41.591,41.591,41.591,41.597,41.597,41.597,41.591,41.591
P100,C30_ene_NA,41.642,NA,NA,NA,NA,41.642,NA,NA,NA,NA,NA
P101,C30_ane_NA,41.9089,41.909,41.915,41.915,41.909,41.909,41.902,41.903,41.909,41.909,41.909
P102,,42.303125,42.29,NA,42.303,NA,42.297,42.303,42.303,42.316,42.31,42.303
P103,C31_diene_NA,42.5506,42.545,42.545,42.545,42.545,42.545,42.551,42.551,42.57,42.558,42.551
P104,C31_diene_NA,42.6536,42.64,42.64,42.647,42.64,42.653,42.653,42.666,42.672,42.666,42.659
P105,C31_diene_NA,42.7393333333333,42.723,NA,42.736,42.729,42.742,42.736,42.742,42.755,42.749,42.742
P106,C31_ene_NA,42.9351,42.888,42.908,42.914,42.895,42.933,42.933,42.959,42.997,42.978,42.946
P107,C31_ene_NA,43.0157,42.965,42.984,42.99,42.971,43.022,43.016,43.041,43.086,43.06,43.022
P108,C31_ane_NA,43.2245,43.175,43.188,43.194,43.187,43.238,43.226,43.251,43.283,43.277,43.226
P109,,43.442,NA,NA,NA,NA,NA,NA,43.436,43.448,43.442,NA
P110,,43.5514,43.537,43.544,43.544,43.544,43.55,43.55,43.557,43.563,43.569,43.556
P111,C32_diene_NA,43.7982857142857,NA,43.798,NA,NA,43.798,43.792,43.798,43.805,43.805,43.792
P112,C32_diene_NA,43.865,43.849,43.856,43.862,43.855,43.868,43.868,43.868,43.881,43.881,43.862
P113,C32_ene_NA,44.1043,44.097,44.097,44.097,44.104,44.104,44.104,44.11,44.116,44.11,44.104
P114,C32_ane_NA,44.4145555555556,NA,44.403,44.415,44.415,44.415,44.415,44.416,44.422,44.415,44.415
P115,,44.606,NA,NA,NA,NA,NA,NA,44.606,NA,NA,NA
P116,,44.7533333333333,NA,44.753,44.74,44.733,44.753,44.772,44.753,44.759,44.765,44.752
